               column_name               |   table_name   |                field_id                 |                                             description                                              | coding | inst | arr |          type          
 c21015_1_1                              | ukb_pheno_0_00 | 21015                                   | Fundus retinal eye image (left)                                                                      |        |    1 |   1 | Text
 c21016_0_0                              | ukb_pheno_0_00 | 21016                                   | Fundus retinal eye image (right)                                                                     |        |    0 |   0 | Text
 c21016_0_1                              | ukb_pheno_0_00 | 21016                                   | Fundus retinal eye image (right)                                                                     |        |    0 |   1 | Text
 c21016_1_0                              | ukb_pheno_0_00 | 21016                                   | Fundus retinal eye image (right)                                                                     |        |    1 |   0 | Text
 c21016_1_1                              | ukb_pheno_0_00 | 21016                                   | Fundus retinal eye image (right)                                                                     |        |    1 |   1 | Text
 c21017_0_0                              | ukb_pheno_0_00 | 21017                                   | OCT image slices (left)                                                                              |        |    0 |   0 | Text
 c21017_0_1                              | ukb_pheno_0_00 | 21017                                   | OCT image slices (left)                                                                              |        |    0 |   1 | Text
 c21017_1_0                              | ukb_pheno_0_00 | 21017                                   | OCT image slices (left)                                                                              |        |    1 |   0 | Text
 c21017_1_1                              | ukb_pheno_0_00 | 21017                                   | OCT image slices (left)                                                                              |        |    1 |   1 | Text
 c21018_0_0                              | ukb_pheno_0_00 | 21018                                   | OCT image slices (right)                                                                             |        |    0 |   0 | Text
 c21018_0_1                              | ukb_pheno_0_00 | 21018                                   | OCT image slices (right)                                                                             |        |    0 |   1 | Text
 c21018_1_0                              | ukb_pheno_0_00 | 21018                                   | OCT image slices (right)                                                                             |        |    1 |   0 | Text
 c21018_1_1                              | ukb_pheno_0_00 | 21018                                   | OCT image slices (right)                                                                             |        |    1 |   1 | Text
 c23000_0_0                              | ukb_pheno_0_00 | 23000                                   | 1gG antigen for Herpes Simplex virus-1                                                               |        |    0 |   0 | Integer
 c23000_1_0                              | ukb_pheno_0_00 | 23000                                   | 1gG antigen for Herpes Simplex virus-1                                                               |        |    1 |   0 | Integer
 c23001_0_0                              | ukb_pheno_0_00 | 23001                                   | 2mgG unique antigen for Herpes Simplex virus-2                                                       |        |    0 |   0 | Integer
 c23001_1_0                              | ukb_pheno_0_00 | 23001                                   | 2mgG unique antigen for Herpes Simplex virus-2                                                       |        |    1 |   0 | Integer
 c23002_0_0                              | ukb_pheno_0_00 | 23002                                   | gE / gI antigen for Varicella Zoster Virus                                                           |        |    0 |   0 | Integer
 c23002_1_0                              | ukb_pheno_0_00 | 23002                                   | gE / gI antigen for Varicella Zoster Virus                                                           |        |    1 |   0 | Integer
 c23003_0_0                              | ukb_pheno_0_00 | 23003                                   | VCA p18 antigen for Epstein-Barr Virus                                                               |        |    0 |   0 | Integer
 c23003_1_0                              | ukb_pheno_0_00 | 23003                                   | VCA p18 antigen for Epstein-Barr Virus                                                               |        |    1 |   0 | Integer
 c23004_0_0                              | ukb_pheno_0_00 | 23004                                   | EBNA-1 antigen for Epstein-Barr Virus                                                                |        |    0 |   0 | Integer
 c23004_1_0                              | ukb_pheno_0_00 | 23004                                   | EBNA-1 antigen for Epstein-Barr Virus                                                                |        |    1 |   0 | Integer
 c23005_0_0                              | ukb_pheno_0_00 | 23005                                   | ZEBRA antigen for Epstein-Barr Virus                                                                 |        |    0 |   0 | Integer
 c23005_1_0                              | ukb_pheno_0_00 | 23005                                   | ZEBRA antigen for Epstein-Barr Virus                                                                 |        |    1 |   0 | Integer
 c23006_0_0                              | ukb_pheno_0_00 | 23006                                   | EA-D antigen for Epstein-Barr Virus                                                                  |        |    0 |   0 | Integer
 c23006_1_0                              | ukb_pheno_0_00 | 23006                                   | EA-D antigen for Epstein-Barr Virus                                                                  |        |    1 |   0 | Integer
 c23007_0_0                              | ukb_pheno_0_00 | 23007                                   | pp150 Nter antigen for Human Cytomegalovirus                                                         |        |    0 |   0 | Integer
 c23007_1_0                              | ukb_pheno_0_00 | 23007                                   | pp150 Nter antigen for Human Cytomegalovirus                                                         |        |    1 |   0 | Integer
 c23008_0_0                              | ukb_pheno_0_00 | 23008                                   | pp 52 antigen for Human Cytomegalovirus                                                              |        |    0 |   0 | Integer
 c23008_1_0                              | ukb_pheno_0_00 | 23008                                   | pp 52 antigen for Human Cytomegalovirus                                                              |        |    1 |   0 | Integer
 c23009_0_0                              | ukb_pheno_0_00 | 23009                                   | pp 28 antigen for Human Cytomegalovirus                                                              |        |    0 |   0 | Integer
 c23009_1_0                              | ukb_pheno_0_00 | 23009                                   | pp 28 antigen for Human Cytomegalovirus                                                              |        |    1 |   0 | Integer
 c23010_0_0                              | ukb_pheno_0_00 | 23010                                   | IE1A antigen for Human Herpesvirus-6                                                                 |        |    0 |   0 | Integer
 c23010_1_0                              | ukb_pheno_0_00 | 23010                                   | IE1A antigen for Human Herpesvirus-6                                                                 |        |    1 |   0 | Integer
 c23011_0_0                              | ukb_pheno_0_00 | 23011                                   | IE1B antigen for Human Herpesvirus-6                                                                 |        |    0 |   0 | Integer
 c23321_2_18                             | ukb_pheno_2_00 | 23321                                   | Values wanted                                                                                        |        |    2 |  18 | Integer
 c23011_1_0                              | ukb_pheno_0_00 | 23011                                   | IE1B antigen for Human Herpesvirus-6                                                                 |        |    1 |   0 | Integer
 c23012_0_0                              | ukb_pheno_0_00 | 23012                                   | p101 k antigen for Human Herpesvirus-6                                                               |        |    0 |   0 | Integer
 c23012_1_0                              | ukb_pheno_0_00 | 23012                                   | p101 k antigen for Human Herpesvirus-6                                                               |        |    1 |   0 | Integer
 c23013_0_0                              | ukb_pheno_0_00 | 23013                                   | U14 antigen for Human Herpesvirus-7                                                                  |        |    0 |   0 | Integer
 c23013_1_0                              | ukb_pheno_0_00 | 23013                                   | U14 antigen for Human Herpesvirus-7                                                                  |        |    1 |   0 | Integer
 c23014_0_0                              | ukb_pheno_0_00 | 23014                                   | LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus                                             |        |    0 |   0 | Integer
 c23014_1_0                              | ukb_pheno_0_00 | 23014                                   | LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus                                             |        |    1 |   0 | Integer
 c23015_0_0                              | ukb_pheno_0_00 | 23015                                   | K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus                                             |        |    0 |   0 | Integer
 c23015_1_0                              | ukb_pheno_0_00 | 23015                                   | K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus                                             |        |    1 |   0 | Integer
 c23016_0_0                              | ukb_pheno_0_00 | 23016                                   | HBc antigen for Hepatitis B Virus                                                                    |        |    0 |   0 | Integer
 c23016_1_0                              | ukb_pheno_0_00 | 23016                                   | HBc antigen for Hepatitis B Virus                                                                    |        |    1 |   0 | Integer
 c23017_0_0                              | ukb_pheno_0_00 | 23017                                   | HBe antigen for Hepatitis B Virus                                                                    |        |    0 |   0 | Integer
 c23017_1_0                              | ukb_pheno_0_00 | 23017                                   | HBe antigen for Hepatitis B Virus                                                                    |        |    1 |   0 | Integer
 c23018_0_0                              | ukb_pheno_0_00 | 23018                                   | Core antigen for Hepatitis C Virus                                                                   |        |    0 |   0 | Integer
 c23018_1_0                              | ukb_pheno_0_00 | 23018                                   | Core antigen for Hepatitis C Virus                                                                   |        |    1 |   0 | Integer
 c23019_0_0                              | ukb_pheno_0_00 | 23019                                   | NS3 antigen for Hepatitis C Virus                                                                    |        |    0 |   0 | Integer
 c23019_1_0                              | ukb_pheno_0_00 | 23019                                   | NS3 antigen for Hepatitis C Virus                                                                    |        |    1 |   0 | Integer
 c23020_0_0                              | ukb_pheno_0_00 | 23020                                   | p22 antigen for Toxoplasma gondii                                                                    |        |    0 |   0 | Integer
 c23020_1_0                              | ukb_pheno_0_00 | 23020                                   | p22 antigen for Toxoplasma gondii                                                                    |        |    1 |   0 | Integer
 c23021_0_0                              | ukb_pheno_0_00 | 23021                                   | sag1 antigen for Toxoplasma gondii                                                                   |        |    0 |   0 | Integer
 c23021_1_0                              | ukb_pheno_0_00 | 23021                                   | sag1 antigen for Toxoplasma gondii                                                                   |        |    1 |   0 | Integer
 c23022_0_0                              | ukb_pheno_0_00 | 23022                                   | HTLV-1 gag antigen for Human T-Lymphotropic Virus 1                                                  |        |    0 |   0 | Integer
 c23022_1_0                              | ukb_pheno_0_00 | 23022                                   | HTLV-1 gag antigen for Human T-Lymphotropic Virus 1                                                  |        |    1 |   0 | Integer
 c23023_0_0                              | ukb_pheno_0_00 | 23023                                   | HTLV-1 env antigen for Human T-Lymphotropic Virus 1                                                  |        |    0 |   0 | Integer
 c23023_1_0                              | ukb_pheno_0_00 | 23023                                   | HTLV-1 env antigen for Human T-Lymphotropic Virus 1                                                  |        |    1 |   0 | Integer
 c23024_0_0                              | ukb_pheno_0_00 | 23024                                   | HIV-1 gag antigen for Human Immunodeficiency Virus                                                   |        |    0 |   0 | Integer
 c23024_1_0                              | ukb_pheno_0_00 | 23024                                   | HIV-1 gag antigen for Human Immunodeficiency Virus                                                   |        |    1 |   0 | Integer
 c23025_0_0                              | ukb_pheno_0_00 | 23025                                   | HIV-1 env antigen for Human Immunodeficiency Virus                                                   |        |    0 |   0 | Integer
 c23025_1_0                              | ukb_pheno_0_00 | 23025                                   | HIV-1 env antigen for Human Immunodeficiency Virus                                                   |        |    1 |   0 | Integer
 c23026_0_0                              | ukb_pheno_0_00 | 23026                                   | BK VP1 antigen for Human Polyomavirus BKV                                                            |        |    0 |   0 | Integer
 c23026_1_0                              | ukb_pheno_0_00 | 23026                                   | BK VP1 antigen for Human Polyomavirus BKV                                                            |        |    1 |   0 | Integer
 c23027_0_0                              | ukb_pheno_0_00 | 23027                                   | JC VP1 antigen for Human Polyomavirus JCV                                                            |        |    0 |   0 | Integer
 c23027_1_0                              | ukb_pheno_0_00 | 23027                                   | JC VP1 antigen for Human Polyomavirus JCV                                                            |        |    1 |   0 | Integer
 c23028_0_0                              | ukb_pheno_0_00 | 23028                                   | MC VP1 antigen for Merkel Cell Polyomavirus                                                          |        |    0 |   0 | Integer
 c23028_1_0                              | ukb_pheno_0_00 | 23028                                   | MC VP1 antigen for Merkel Cell Polyomavirus                                                          |        |    1 |   0 | Integer
 c23029_0_0                              | ukb_pheno_0_00 | 23029                                   | L1 antigen for Human Papillomavirus type-16                                                          |        |    0 |   0 | Integer
 c23029_1_0                              | ukb_pheno_0_00 | 23029                                   | L1 antigen for Human Papillomavirus type-16                                                          |        |    1 |   0 | Integer
 c23030_0_0                              | ukb_pheno_0_00 | 23030                                   | E6 antigen for Human Papillomavirus type-16                                                          |        |    0 |   0 | Integer
 c23030_1_0                              | ukb_pheno_0_00 | 23030                                   | E6 antigen for Human Papillomavirus type-16                                                          |        |    1 |   0 | Integer
 c23031_0_0                              | ukb_pheno_0_00 | 23031                                   | E7 antigen for Human Papillomavirus type-16                                                          |        |    0 |   0 | Integer
 c23031_1_0                              | ukb_pheno_0_00 | 23031                                   | E7 antigen for Human Papillomavirus type-16                                                          |        |    1 |   0 | Integer
 c23032_0_0                              | ukb_pheno_0_00 | 23032                                   | L1 antigen for Human Papillomavirus type-18                                                          |        |    0 |   0 | Integer
 c23032_1_0                              | ukb_pheno_0_00 | 23032                                   | L1 antigen for Human Papillomavirus type-18                                                          |        |    1 |   0 | Integer
 c23033_0_0                              | ukb_pheno_0_00 | 23033                                   | momp D antigen for Chlamydia trachomatis                                                             |        |    0 |   0 | Integer
 c23033_1_0                              | ukb_pheno_0_00 | 23033                                   | momp D antigen for Chlamydia trachomatis                                                             |        |    1 |   0 | Integer
 c23034_0_0                              | ukb_pheno_0_00 | 23034                                   | momp A antigen for Chlamydia trachomatis                                                             |        |    0 |   0 | Integer
 c23034_1_0                              | ukb_pheno_0_00 | 23034                                   | momp A antigen for Chlamydia trachomatis                                                             |        |    1 |   0 | Integer
 c23035_0_0                              | ukb_pheno_0_00 | 23035                                   | tarp-D F1 antigen for Chlamydia trachomatis                                                          |        |    0 |   0 | Integer
 c23035_1_0                              | ukb_pheno_0_00 | 23035                                   | tarp-D F1 antigen for Chlamydia trachomatis                                                          |        |    1 |   0 | Integer
 c23036_0_0                              | ukb_pheno_0_00 | 23036                                   | tarp-D F2 antigen for Chlamydia trachomatis                                                          |        |    0 |   0 | Integer
 c23036_1_0                              | ukb_pheno_0_00 | 23036                                   | tarp-D F2 antigen for Chlamydia trachomatis                                                          |        |    1 |   0 | Integer
 c23037_0_0                              | ukb_pheno_0_00 | 23037                                   | PorB antigen for Chlamydia trachomatis                                                               |        |    0 |   0 | Integer
 c23037_1_0                              | ukb_pheno_0_00 | 23037                                   | PorB antigen for Chlamydia trachomatis                                                               |        |    1 |   0 | Integer
 c23038_0_0                              | ukb_pheno_0_00 | 23038                                   | pGP3 antigen for Chlamydia trachomatis                                                               |        |    0 |   0 | Integer
 c23038_1_0                              | ukb_pheno_0_00 | 23038                                   | pGP3 antigen for Chlamydia trachomatis                                                               |        |    1 |   0 | Integer
 c23039_0_0                              | ukb_pheno_0_00 | 23039                                   | CagA antigen for Helicobacter pylori                                                                 |        |    0 |   0 | Integer
 c23039_1_0                              | ukb_pheno_0_00 | 23039                                   | CagA antigen for Helicobacter pylori                                                                 |        |    1 |   0 | Integer
 c23040_0_0                              | ukb_pheno_0_00 | 23040                                   | VacA antigen for Helicobacter pylori                                                                 |        |    0 |   0 | Integer
 c23040_1_0                              | ukb_pheno_0_00 | 23040                                   | VacA antigen for Helicobacter pylori                                                                 |        |    1 |   0 | Integer
 c23041_0_0                              | ukb_pheno_0_00 | 23041                                   | OMP antigen for Helicobacter pylori                                                                  |        |    0 |   0 | Integer
 c23041_1_0                              | ukb_pheno_0_00 | 23041                                   | OMP antigen for Helicobacter pylori                                                                  |        |    1 |   0 | Integer
 c23042_0_0                              | ukb_pheno_0_00 | 23042                                   | GroEL antigen for Helicobacter pylori                                                                |        |    0 |   0 | Integer
 c23042_1_0                              | ukb_pheno_0_00 | 23042                                   | GroEL antigen for Helicobacter pylori                                                                |        |    1 |   0 | Integer
 c23043_0_0                              | ukb_pheno_0_00 | 23043                                   | Catalase antigen for Helicobacter pylori                                                             |        |    0 |   0 | Integer
 c23043_1_0                              | ukb_pheno_0_00 | 23043                                   | Catalase antigen for Helicobacter pylori                                                             |        |    1 |   0 | Integer
 c23044_0_0                              | ukb_pheno_0_00 | 23044                                   | UreA antigen for Helicobacter pylori                                                                 |        |    0 |   0 | Integer
 c23044_1_0                              | ukb_pheno_0_00 | 23044                                   | UreA antigen for Helicobacter pylori                                                                 |        |    1 |   0 | Integer
 c23048_0_0                              | ukb_pheno_0_00 | 23048                                   | Antigen assay date                                                                                   |        |    0 |   0 | Date
 c23048_1_0                              | ukb_pheno_0_00 | 23048                                   | Antigen assay date                                                                                   |        |    1 |   0 | Date
 c23049_0_0                              | ukb_pheno_0_00 | 23049                                   | Antigen assay QC indicator                                                                           |   7618 |    0 |   0 | Categorical (single)
 c23049_1_0                              | ukb_pheno_0_00 | 23049                                   | Antigen assay QC indicator                                                                           |   7618 |    1 |   0 | Categorical (single)
 c23050_0_0                              | ukb_pheno_0_00 | 23050                                   | HSV-1 seropositivity for Herpes Simplex virus-1                                                      |     12 |    0 |   0 | Categorical (single)
 c23050_1_0                              | ukb_pheno_0_00 | 23050                                   | HSV-1 seropositivity for Herpes Simplex virus-1                                                      |     12 |    1 |   0 | Categorical (single)
 c23051_0_0                              | ukb_pheno_0_00 | 23051                                   | HSV-2 seropositivity for Herpes Simplex virus-2                                                      |     12 |    0 |   0 | Categorical (single)
 c23051_1_0                              | ukb_pheno_0_00 | 23051                                   | HSV-2 seropositivity for Herpes Simplex virus-2                                                      |     12 |    1 |   0 | Categorical (single)
 c23052_0_0                              | ukb_pheno_0_00 | 23052                                   | VZV seropositivity for Varicella Zoster Virus                                                        |     12 |    0 |   0 | Categorical (single)
 c23052_1_0                              | ukb_pheno_0_00 | 23052                                   | VZV seropositivity for Varicella Zoster Virus                                                        |     12 |    1 |   0 | Categorical (single)
 c23053_0_0                              | ukb_pheno_0_00 | 23053                                   | EBV seropositivity for Epstein-Barr Virus                                                            |     12 |    0 |   0 | Categorical (single)
 c23053_1_0                              | ukb_pheno_0_00 | 23053                                   | EBV seropositivity for Epstein-Barr Virus                                                            |     12 |    1 |   0 | Categorical (single)
 c23054_0_0                              | ukb_pheno_0_00 | 23054                                   | CMV seropositivity for Human Cytomegalovirus                                                         |     12 |    0 |   0 | Categorical (single)
 c23054_1_0                              | ukb_pheno_0_00 | 23054                                   | CMV seropositivity for Human Cytomegalovirus                                                         |     12 |    1 |   0 | Categorical (single)
 c23055_0_0                              | ukb_pheno_0_00 | 23055                                   | HHV-6 overall seropositivity for Human Herpesvirus-6                                                 |     12 |    0 |   0 | Categorical (single)
 c23055_1_0                              | ukb_pheno_0_00 | 23055                                   | HHV-6 overall seropositivity for Human Herpesvirus-6                                                 |     12 |    1 |   0 | Categorical (single)
 c23056_0_0                              | ukb_pheno_0_00 | 23056                                   | HHV-6A seropositivity for Human Herpesvirus-6                                                        |     12 |    0 |   0 | Categorical (single)
 c23056_1_0                              | ukb_pheno_0_00 | 23056                                   | HHV-6A seropositivity for Human Herpesvirus-6                                                        |     12 |    1 |   0 | Categorical (single)
 c23057_0_0                              | ukb_pheno_0_00 | 23057                                   | HHV-6B seropositivity for Human Herpesvirus-6                                                        |     12 |    0 |   0 | Categorical (single)
 c23057_1_0                              | ukb_pheno_0_00 | 23057                                   | HHV-6B seropositivity for Human Herpesvirus-6                                                        |     12 |    1 |   0 | Categorical (single)
 c23058_0_0                              | ukb_pheno_0_00 | 23058                                   | HHV-7 seropositivity for Human Herpesvirus-7                                                         |     12 |    0 |   0 | Categorical (single)
 c23058_1_0                              | ukb_pheno_0_00 | 23058                                   | HHV-7 seropositivity for Human Herpesvirus-7                                                         |     12 |    1 |   0 | Categorical (single)
 c23059_0_0                              | ukb_pheno_0_00 | 23059                                   | KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus                                      |     12 |    0 |   0 | Categorical (single)
 c23059_1_0                              | ukb_pheno_0_00 | 23059                                   | KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus                                      |     12 |    1 |   0 | Categorical (single)
 c23060_0_0                              | ukb_pheno_0_00 | 23060                                   | HBV seropositivity for Hepatitis B Virus                                                             |     12 |    0 |   0 | Categorical (single)
 c23060_1_0                              | ukb_pheno_0_00 | 23060                                   | HBV seropositivity for Hepatitis B Virus                                                             |     12 |    1 |   0 | Categorical (single)
 c23061_0_0                              | ukb_pheno_0_00 | 23061                                   | HCV seropositivity for Hepatitis C Virus                                                             |     12 |    0 |   0 | Categorical (single)
 c23061_1_0                              | ukb_pheno_0_00 | 23061                                   | HCV seropositivity for Hepatitis C Virus                                                             |     12 |    1 |   0 | Categorical (single)
 c23062_0_0                              | ukb_pheno_0_00 | 23062                                   | T. gondii seropositivity for Toxoplasma gondii                                                       |     12 |    0 |   0 | Categorical (single)
 c23062_1_0                              | ukb_pheno_0_00 | 23062                                   | T. gondii seropositivity for Toxoplasma gondii                                                       |     12 |    1 |   0 | Categorical (single)
 c23063_0_0                              | ukb_pheno_0_00 | 23063                                   | HTLV-1 seropositivity for Human T-Lymphotropic Virus 1                                               |     12 |    0 |   0 | Categorical (single)
 c23063_1_0                              | ukb_pheno_0_00 | 23063                                   | HTLV-1 seropositivity for Human T-Lymphotropic Virus 1                                               |     12 |    1 |   0 | Categorical (single)
 c23064_0_0                              | ukb_pheno_0_00 | 23064                                   | HIV-1 seropositivity for Human Immunodeficiency Virus                                                |     12 |    0 |   0 | Categorical (single)
 c23064_1_0                              | ukb_pheno_0_00 | 23064                                   | HIV-1 seropositivity for Human Immunodeficiency Virus                                                |     12 |    1 |   0 | Categorical (single)
 c23065_0_0                              | ukb_pheno_0_00 | 23065                                   | BKV seropositivity for Human Polyomavirus BKV                                                        |     12 |    0 |   0 | Categorical (single)
 c23065_1_0                              | ukb_pheno_0_00 | 23065                                   | BKV seropositivity for Human Polyomavirus BKV                                                        |     12 |    1 |   0 | Categorical (single)
 c23066_0_0                              | ukb_pheno_0_00 | 23066                                   | JCV seropositivity for Human Polyomavirus JCV                                                        |     12 |    0 |   0 | Categorical (single)
 c23066_1_0                              | ukb_pheno_0_00 | 23066                                   | JCV seropositivity for Human Polyomavirus JCV                                                        |     12 |    1 |   0 | Categorical (single)
 c23067_0_0                              | ukb_pheno_0_00 | 23067                                   | MCV seropositivity for Merkel Cell Polyomavirus                                                      |     12 |    0 |   0 | Categorical (single)
 c23067_1_0                              | ukb_pheno_0_00 | 23067                                   | MCV seropositivity for Merkel Cell Polyomavirus                                                      |     12 |    1 |   0 | Categorical (single)
 c23068_0_0                              | ukb_pheno_0_00 | 23068                                   | HPV 16 Definition I seropositivity for Human Papillomavirus type-16                                  |     12 |    0 |   0 | Categorical (single)
 c23068_1_0                              | ukb_pheno_0_00 | 23068                                   | HPV 16 Definition I seropositivity for Human Papillomavirus type-16                                  |     12 |    1 |   0 | Categorical (single)
 c23069_0_0                              | ukb_pheno_0_00 | 23069                                   | HPV 18 seropositivity for Human Papillomavirus type-18                                               |     12 |    0 |   0 | Categorical (single)
 c23069_1_0                              | ukb_pheno_0_00 | 23069                                   | HPV 18 seropositivity for Human Papillomavirus type-18                                               |     12 |    1 |   0 | Categorical (single)
 c23070_0_0                              | ukb_pheno_0_00 | 23070                                   | C. trachomatis Definition I seropositivity for Chlamydia trachomatis                                 |     12 |    0 |   0 | Categorical (single)
 c23070_1_0                              | ukb_pheno_0_00 | 23070                                   | C. trachomatis Definition I seropositivity for Chlamydia trachomatis                                 |     12 |    1 |   0 | Categorical (single)
 c23071_0_0                              | ukb_pheno_0_00 | 23071                                   | C. trachomatis Definition II seropositivity for Chlamydia trachomatis                                |     12 |    0 |   0 | Categorical (single)
 c23321_2_19                             | ukb_pheno_2_00 | 23321                                   | Values wanted                                                                                        |        |    2 |  19 | Integer
 c23071_1_0                              | ukb_pheno_0_00 | 23071                                   | C. trachomatis Definition II seropositivity for Chlamydia trachomatis                                |     12 |    1 |   0 | Categorical (single)
 c23073_0_0                              | ukb_pheno_0_00 | 23073                                   | H. pylori Definition I seropositivity for Helicobacter pylori                                        |     12 |    0 |   0 | Categorical (single)
 c23073_1_0                              | ukb_pheno_0_00 | 23073                                   | H. pylori Definition I seropositivity for Helicobacter pylori                                        |     12 |    1 |   0 | Categorical (single)
 c23074_0_0                              | ukb_pheno_0_00 | 23074                                   | H. pylori Definition II seropositivity for Helicobacter pylori                                       |     12 |    0 |   0 | Categorical (single)
 c23074_1_0                              | ukb_pheno_0_00 | 23074                                   | H. pylori Definition II seropositivity for Helicobacter pylori                                       |     12 |    1 |   0 | Categorical (single)
